# Pinned descriptor set for the E4 channel (decision D8).
#
# Format: name <TAB> measured_cost_us <TAB> finite_fraction
# Lines beginning with '#' are commentary; rejected descriptors are listed at the
# bottom with their rejection reason so nobody re-adds one without seeing the cost.
#
# FROZEN. This list is definitional for the foundation model and does not change.
# It is not re-derived per corpus and not re-tuned at M0. Changing it invalidates
# every checkpoint, every cached vector, and every benchmark number at once — that
# is a new model version, not an edit. The generator exists to document how this
# list was derived, not as a step in any workflow.
#
# corpus: RDKit NCI first_5K, element-filtered. FROZEN 2026-07-21 — definitional, not to be regenerated.
# selected: 200 of 217 descriptors
# total cost: 463.6 us/mol (full set: 1485.0 us/mol)
#   costs are EFFECTIVE: shared-subcomputation groups are charged once, not per member
#
# NOTE: costs are wall-clock and therefore hardware-dependent. That is precisely why
# this list is pinned rather than recomputed at import — a runtime threshold would
# silently produce different feature layouts on different machines.
#
# RULE: include a descriptor if it is cheap OR if the cheap set cannot linearly
# reconstruct it (R2 < 0.95). Cost and information are nearly uncorrelated, so cost
# alone drops real axes. No variance or correlation filtering against any specific
# corpus: a frozen input space must not depend on which dataset was handy.

fr_tetrazole	1.30	1.0000
fr_Ar_COO	1.30	1.0000
fr_hdrzone	1.31	1.0000
fr_amide	1.31	1.0000
NumHDonors	1.32	1.0000
fr_term_acetylene	1.36	1.0000
fr_N_O	1.36	1.0000
fr_C_O	1.37	1.0000
fr_alkyl_carbamate	1.38	1.0000
fr_alkyl_halide	1.39	1.0000
fr_barbitur	1.40	1.0000
NumHeteroatoms	1.43	1.0000
fr_azo	1.46	1.0000
FpDensityMorgan1	1.48	1.0000
fr_Al_COO	1.48	1.0000
fr_nitroso	1.61	1.0000
fr_ketone	1.66	1.0000
BCUT2D_LOGPHI	1.70	0.9967
BCUT2D_MRLOW	1.70	0.9967
BCUT2D_LOGPLOW	1.71	0.9967
BCUT2D_CHGHI	1.72	0.9967
BCUT2D_MWLOW	1.72	0.9967
fr_COO	1.72	1.0000
BCUT2D_MRHI	1.73	0.9967
BCUT2D_CHGLO	1.74	0.9967
FpDensityMorgan2	1.75	1.0000
fr_ester	1.75	1.0000
BCUT2D_MWHI	1.83	0.9967
fr_quatN	1.86	1.0000
fr_aniline	1.89	1.0000
fr_unbrch_alkane	1.97	1.0000
fr_nitro	2.00	1.0000
fr_Al_OH	2.10	1.0000
fr_C_O_noCOO	2.12	1.0000
FpDensityMorgan3	2.13	1.0000
fr_HOCCN	2.13	1.0000
fr_ketone_Topliss	2.19	1.0000
fr_nitro_arom	2.51	1.0000
fr_Al_OH_noTert	2.90	1.0000
fr_dihydropyridine	3.08	1.0000
fr_azide	3.28	1.0000
fr_Ndealkylation2	3.37	1.0000
fr_allylic_oxid	3.57	1.0000
fr_phos_acid	3.64	1.0000
fr_ArN	3.97	1.0000
fr_benzene	4.05	1.0000
fr_nitro_arom_nonortho	4.24	1.0000
fr_phos_ester	4.30	1.0000
fr_aryl_methyl	4.83	1.0000
fr_phenol_noOrthoHbond	5.12	1.0000
fr_Ndealkylation1	5.23	1.0000
PEOE_VSA6	5.65	1.0000
PEOE_VSA3	5.66	1.0000
PEOE_VSA4	5.66	1.0000
PEOE_VSA11	5.70	1.0000
PEOE_VSA5	5.71	1.0000
PEOE_VSA14	5.71	1.0000
PEOE_VSA13	5.72	1.0000
PEOE_VSA8	5.72	1.0000
PEOE_VSA9	5.72	1.0000
PEOE_VSA12	5.74	1.0000
PEOE_VSA1	5.74	1.0000
PEOE_VSA7	5.76	1.0000
PEOE_VSA10	5.77	1.0000
PEOE_VSA2	5.78	1.0000
fr_para_hydroxylation	9.35	1.0000
NumRadicalElectrons	9.86	1.0000
BalabanJ	20.41	1.0000
Kappa3	22.05	1.0000
AvgIpc	53.62	1.0000
MaxAbsEStateIndex	61.49	1.0000
MaxEStateIndex	62.00	1.0000
MinEStateIndex	62.24	1.0000
MinAbsEStateIndex	63.36	1.0000

# ---------------------------------------------------------------- rejected
# Chi0	12.06	1.0000	cost 12.1 us exceeds 10.0 us budget; redundant (reconstruction R2=1.000)
# NumHAcceptors	13.82	1.0000	cost 13.8 us exceeds 10.0 us budget; redundant (reconstruction R2=0.992)
# Phi	15.11	1.0000	cost 15.1 us exceeds 10.0 us budget; redundant (reconstruction R2=0.991)
# Chi2n	15.31	1.0000	cost 15.3 us exceeds 10.0 us budget; redundant (reconstruction R2=0.996)
# Chi2v	15.36	1.0000	cost 15.4 us exceeds 10.0 us budget; redundant (reconstruction R2=0.989)
# Kappa2	15.37	1.0000	cost 15.4 us exceeds 10.0 us budget; redundant (reconstruction R2=0.994)
# NumValenceElectrons	17.35	1.0000	cost 17.3 us exceeds 10.0 us budget; redundant (reconstruction R2=1.000)
# Chi1	20.18	1.0000	cost 20.2 us exceeds 10.0 us budget; redundant (reconstruction R2=1.000)
# Chi3v	21.73	1.0000	cost 21.7 us exceeds 10.0 us budget; redundant (reconstruction R2=0.977)
# Chi3n	21.79	1.0000	cost 21.8 us exceeds 10.0 us budget; redundant (reconstruction R2=0.987)
# NumRotatableBonds	29.41	1.0000	cost 29.4 us exceeds 10.0 us budget; redundant (reconstruction R2=0.993)
# Chi4n	30.01	1.0000	cost 30.0 us exceeds 10.0 us budget; redundant (reconstruction R2=0.984)
# Chi4v	30.13	1.0000	cost 30.1 us exceeds 10.0 us budget; redundant (reconstruction R2=0.971)
# Ipc	55.67	1.0000	dynamic range 2.24e+09 — not standardizable
# BertzCT	101.76	1.0000	cost 101.8 us exceeds 10.0 us budget; redundant (reconstruction R2=0.995)
# SPS	253.11	1.0000	cost 253.1 us exceeds 10.0 us budget; too expensive for its uniqueness (reconstruction R2=0.905)
# qed	353.26	1.0000	cost 353.3 us exceeds 10.0 us budget; too expensive for its uniqueness (reconstruction R2=0.713)
